ID ,,  Year  ,       Award      ,Winner,      Name           Film        
187 , 1936 , Actress in a Supporting Role , 0 , Maria Ouspenskaya , Dodsworth
182 , 1936 , Actress in a Leading Role , 0 , Carole Lombard , My Man Godfrey
180 , 1936 , Actress in a Leading Role , 0 , Irene Dunne , Theodora Goes Wild
179 , 1936 , Actor in a Supporting Role , 0 , Akim Tamiroff , The General Died at Dawn
170 , 1936 , Actress in a Leading Role , 1 , Luise Rainer , The Great Ziegfeld
176 , 1936 , Actor in a Supporting Role , 0 , Mischa Auer , My Man Godfrey
174 , 1936 , Actor in a Leading Role , 0 , William Powell , My Man Godfrey
172 , 1936 , Actor in a Leading Role , 0 , Gary Cooper , Mr. Deeds Goes to Town
198 , 1937 , Actor in a Supporting Role , 0 , H. B. Warner , Lost Horizon
195 , 1937 , Actor in a Leading Role , 0 , Paul Muni , The Life of Emile Zola
196 , 1937 , Actor in a Supporting Role , 0 , Ralph Bellamy , The Awful Truth
190 , 1937 , Actress in a Leading Role , 1 , Luise Rainer , The Good Earth
188 , 1937 , Actor in a Leading Role , 1 , Spencer Tracy , Captains Courageous
203 , 1937 , Actress in a Leading Role , 0 , Barbara Stanwyck , Stella Dallas
194 , 1937 , Actor in a Leading Role , 0 , Robert Montgomery , Night Must Fall
202 , 1937 , Actress in a Leading Role , 0 , Janet Gaynor , A Star Is Born
199 , 1937 , Actor in a Supporting Role , 0 , Roland Young , Topper
207 , 1937 , Actress in a Supporting Role , 0 , Dame May Whitty , Night Must Fall
191 , 1937 , Actress in a Supporting Role , 1 , Alice Brady , In Old Chicago
206 , 1937 , Actress in a Supporting Role , 0 , Claire Trevor , Dead End
192 , 1937 , Actor in a Leading Role , 0 , Charles Boyer , Conquest
200 , 1937 , Actress in a Leading Role , 0 , Irene Dunne , The Awful Truth
201 , 1937 , Actress in a Leading Role , 0 , Greta Garbo , Camille
205 , 1937 , Actress in a Supporting Role , 0 , Anne Shirley , Stella Dallas
193 , 1937 , Actor in a Leading Role , 0 , Fredric March , A Star Is Born
189 , 1937 , Actor in a Supporting Role , 1 , Joseph Schildkraut , The Life of Emile Zola
197 , 1937 , Actor in a Supporting Role , 0 , Thomas Mitchell , The Hurricane
204 , 1937 , Actress in a Supporting Role , 0 , Andrea Leeds , Stage Door
222 , 1938 , Actress in a Leading Role , 0 , Norma Shearer , Marie Antoinette
210 , 1938 , Actress in a Leading Role , 1 , Bette Davis , Jezebel
211 , 1938 , Actress in a Supporting Role , 1 , Fay Bainter , Jezebel
216 , 1938 , Actor in a Supporting Role , 0 , John Garfield , Four Daughters
227 , 1938 , Actress in a Supporting Role , 0 , Miliza Korjus , The Great Waltz
225 , 1938 , Actress in a Supporting Role , 0 , Billie Burke , Merrily We Live
220 , 1938 , Actress in a Leading Role , 0 , Fay Bainter , White Banners
221 , 1938 , Actress in a Leading Role , 0 , Wendy Hiller , Pygmalion
224 , 1938 , Actress in a Supporting Role , 0 , Beulah Bondi , Of Human Hearts
212 , 1938 , Actor in a Leading Role , 0 , Charles Boyer , Algiers
215 , 1938 , Actor in a Leading Role , 0 , Leslie Howard , Pygmalion
209 , 1938 , Actor in a Supporting Role , 1 , Walter Brennan , Kentucky
219 , 1938 , Actor in a Supporting Role , 0 , Basil Rathbone , If I Were King
214 , 1938 , Actor in a Leading Role , 0 , Robert Donat , The Citadel
218 , 1938 , Actor in a Supporting Role , 0 , Robert Morley , Marie Antoinette
217 , 1938 , Actor in a Supporting Role , 0 , Gene Lockhart , Algiers
226 , 1938 , Actress in a Supporting Role , 0 , Spring Byington , You Can't Take It with You
223 , 1938 , Actress in a Leading Role , 0 , Margaret Sullavan , Three Comrades
208 , 1938 , Actor in a Leading Role , 1 , Spencer Tracy , Boys Town
213 , 1938 , Actor in a Leading Role , 0 , James Cagney , Angels with Dirty Faces
231 , 1939 , Actress in a Supporting Role , 1 , Hattie McDaniel , Gone with the Wind
245 , 1939 , Actress in a Supporting Role , 0 , Geraldine Fitzgerald , Wuthering Heights
230 , 1939 , Actress in a Leading Role , 1 , Vivien Leigh , Gone with the Wind
234 , 1939 , Actor in a Leading Role , 0 , Mickey Rooney , Babes in Arms
247 , 1939 , Actress in a Supporting Role , 0 , Maria Ouspenskaya , Love Affair
240 , 1939 , Actress in a Leading Role , 0 , Bette Davis , Dark Victory
236 , 1939 , Actor in a Supporting Role , 0 , Brian Aherne , Juarez
241 , 1939 , Actress in a Leading Role , 0 , Irene Dunne , Love Affair
244 , 1939 , Actress in a Supporting Role , 0 , Olivia de Havilland , Gone with the Wind
242 , 1939 , Actress in a Leading Role , 0 , Greta Garbo , Ninotchka
238 , 1939 , Actor in a Supporting Role , 0 , Brian Donlevy , Beau Geste
239 , 1939 , Actor in a Supporting Role , 0 , Claude Rains , Mr. Smith Goes to Washington
246 , 1939 , Actress in a Supporting Role , 0 , Edna May Oliver , Drums along the Mohawk
229 , 1939 , Actor in a Supporting Role , 1 , Thomas Mitchell , Stagecoach
232 , 1939 , Actor in a Leading Role , 0 , Clark Gable , Gone with the Wind
233 , 1939 , Actor in a Leading Role , 0 , Laurence Olivier , Wuthering Heights
228 , 1939 , Actor in a Leading Role , 1 , Robert Donat , "Goodbye, Mr. Chips"
235 , 1939 , Actor in a Leading Role , 0 , James Stewart , Mr. Smith Goes to Washington
237 , 1939 , Actor in a Supporting Role , 0 , Harry Carey , Mr. Smith Goes to Washington
243 , 1939 , Actress in a Leading Role , 0 , Greer Garson , "Goodbye, Mr. Chips"
256 , 1940 , Actor in a Supporting Role , 0 , Albert Basserman , Foreign Correspondent
267 , 1940 , Actress in a Supporting Role , 0 , Marjorie Rambeau , Primrose Path
255 , 1940 , Actor in a Leading Role , 0 , Laurence Olivier , Rebecca
260 , 1940 , Actress in a Leading Role , 0 , Bette Davis , The Letter
259 , 1940 , Actor in a Supporting Role , 0 , James Stephenson , The Letter
265 , 1940 , Actress in a Supporting Role , 0 , Ruth Hussey , The Philadelphia Story
261 , 1940 , Actress in a Leading Role , 0 , Joan Fontaine , Rebecca
257 , 1940 , Actor in a Supporting Role , 0 , William Gargan , They Knew What They Wanted
263 , 1940 , Actress in a Leading Role , 0 , Martha Scott , Our Town
248 , 1940 , Actor in a Leading Role , 1 , James Stewart , The Philadelphia Story
264 , 1940 , Actress in a Supporting Role , 0 , Judith Anderson , Rebecca
249 , 1940 , Actor in a Supporting Role , 1 , Walter Brennan , The Westerner
266 , 1940 , Actress in a Supporting Role , 0 , Barbara O'Neil , "All This, and Heaven Too"
252 , 1940 , Actor in a Leading Role , 0 , Charles Chaplin , The Great Dictator
251 , 1940 , Actress in a Supporting Role , 1 , Jane Darwell , The Grapes of Wrath
254 , 1940 , Actor in a Leading Role , 0 , Raymond Massey , Abe Lincoln in Illinois
