ID ,,  Year  ,       Award      ,Winner,      Name           Film        
1311 , 1993 , Actress in a Supporting Role , 1 , Anna Paquin , The Piano
1205 , 1987 , Actress in a Supporting Role , 0 , Anne Archer , Fatal Attraction
690 , 1962 , Actress in a Leading Role , 1 , Anne Bancroft , The Miracle Worker
1160 , 1985 , Actress in a Leading Role , 0 , Anne Bancroft , Agnes of God
1000 , 1977 , Actress in a Leading Role , 0 , Anne Bancroft , The Turning Point
800 , 1967 , Actress in a Leading Role , 0 , Anne Bancroft , The Graduate
740 , 1964 , Actress in a Leading Role , 0 , Anne Bancroft , The Pumpkin Eater
371 , 1946 , Actress in a Supporting Role , 1 , Anne Baxter , The Razor's Edge
460 , 1950 , Actress in a Leading Role , 0 , Anne Baxter , All about Eve
1620 , 2008 , Actress in a Leading Role , 0 , Anne Hathaway , Rachel Getting Married
1691 , 2012 , Actress in a Supporting Role , 1 , Anne Hathaway , Les Misí©rables
1206 , 1987 , Actress in a Supporting Role , 0 , Anne Ramsey , Throw Momma from the Train
326 , 1943 , Actress in a Supporting Role , 0 , Anne Revere , The Song of Bernadette
407 , 1947 , Actress in a Supporting Role , 0 , Anne Revere , Gentleman's Agreement
351 , 1945 , Actress in a Supporting Role , 1 , Anne Revere , National Velvet
205 , 1937 , Actress in a Supporting Role , 0 , Anne Shirley , Stella Dallas
1264 , 1990 , Actress in a Supporting Role , 0 , Annette Bening , The Grifters
1660 , 2010 , Actress in a Leading Role , 0 , Annette Bening , The Kids Are All Right
1540 , 2004 , Actress in a Leading Role , 0 , Annette Bening , Being Julia
1440 , 1999 , Actress in a Leading Role , 0 , Annette Bening , American Beauty
780 , 1966 , Actress in a Leading Role , 0 , Anouk Aimee , A Man and a Woman
593 , 1957 , Actor in a Leading Role , 0 , Anthony Franciosa , A Hatful of Rain
1268 , 1991 , Actor in a Leading Role , 1 , Anthony Hopkins , The Silence of the Lambs
1397 , 1997 , Actor in a Supporting Role , 0 , Anthony Hopkins , Amistad
1353 , 1995 , Actor in a Leading Role , 0 , Anthony Hopkins , Nixon
1314 , 1993 , Actor in a Leading Role , 0 , Anthony Hopkins , The Remains of the Day
577 , 1956 , Actor in a Supporting Role , 0 , Anthony Perkins , Friendly Persuasion
839 , 1969 , Actor in a Supporting Role , 0 , Anthony Quayle , Anne of the Thousand Days
489 , 1952 , Actor in a Supporting Role , 1 , Anthony Quinn , Viva Zapata!
734 , 1964 , Actor in a Leading Role , 0 , Anthony Quinn , Zorba the Greek
595 , 1957 , Actor in a Leading Role , 0 , Anthony Quinn , Wild Is the Wind
569 , 1956 , Actor in a Supporting Role , 1 , Anthony Quinn , Lust for Life
1377 , 1996 , Actor in a Supporting Role , 0 , Armin Mueller-Stahl , Shine
928 , 1974 , Actor in a Leading Role , 1 , Art Carney , Harry and Tonto
497 , 1952 , Actor in a Supporting Role , 0 , Arthur Hunnicutt , The Big Sky
437 , 1949 , Actor in a Supporting Role , 0 , Arthur Kennedy , Champion
618 , 1958 , Actor in a Supporting Role , 0 , Arthur Kennedy , Some Came Running
598 , 1957 , Actor in a Supporting Role , 0 , Arthur Kennedy , Peyton Place
556 , 1955 , Actor in a Supporting Role , 0 , Arthur Kennedy , Trial
474 , 1951 , Actor in a Leading Role , 0 , Arthur Kennedy , Bright Victory
559 , 1955 , Actor in a Supporting Role , 0 , Arthur O'Connell , Picnic
636 , 1959 , Actor in a Supporting Role , 0 , Arthur O'Connell , Anatomy of a Murder
510 , 1953 , Actress in a Leading Role , 1 , Audrey Hepburn , Roman Holiday
803 , 1967 , Actress in a Leading Role , 0 , Audrey Hepburn , Wait until Dark
680 , 1961 , Actress in a Leading Role , 0 , Audrey Hepburn , Breakfast at Tiffany's
641 , 1959 , Actress in a Leading Role , 0 , Audrey Hepburn , The Nun's Story
542 , 1954 , Actress in a Leading Role , 0 , Audrey Hepburn , Sabrina
521 , 1953 , Actress in a Leading Role , 0 , Ava Gardner , Mogambo
1045 , 1979 , Actress in a Supporting Role , 0 , Barbara Barrie , Breaking Away
424 , 1948 , Actress in a Supporting Role , 0 , Barbara Bel Geddes , I Remember Mama
886 , 1971 , Actress in a Supporting Role , 0 , Barbara Harris , Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me?
1386 , 1996 , Actress in a Supporting Role , 0 , Barbara Hershey , The Portrait of a Lady
266 , 1940 , Actress in a Supporting Role , 0 , Barbara O'Neil , "All This, and Heaven Too"
203 , 1937 , Actress in a Leading Role , 0 , Barbara Stanwyck , Stella Dallas
423 , 1948 , Actress in a Leading Role , 0 , Barbara Stanwyck , "Sorry, Wrong Number"
343 , 1944 , Actress in a Leading Role , 0 , Barbara Stanwyck , Double Indemnity
283 , 1941 , Actress in a Leading Role , 0 , Barbara Stanwyck , Ball of Fire
811 , 1968 , Actress in a Leading Role , 1 , Barbra Streisand , Funny Girl
922 , 1973 , Actress in a Leading Role , 0 , Barbra Streisand , The Way We Were
1716 , 2013 , Actor in a Supporting Role , 0 , Barkhad Abdi , Captain Phillips
329 , 1944 , Actor in a Supporting Role , 1 , Barry Fitzgerald , Going My Way
333 , 1944 , Actor in a Leading Role , 0 , Barry Fitzgerald , Going My Way
178 , 1936 , Actor in a Supporting Role , 0 , Basil Rathbone , Romeo and Juliet
219 , 1938 , Actor in a Supporting Role , 0 , Basil Rathbone , If I Were King
806 , 1967 , Actress in a Supporting Role , 0 , Beah Richards , Guess Who's Coming to Dinner
971 , 1976 , Actress in a Supporting Role , 1 , Beatrice Straight , Network
869 , 1971 , Actor in a Supporting Role , 1 , Ben Johnson , The Last Picture Show
1088 , 1982 , Actor in a Leading Role , 1 , Ben Kingsley , Gandhi
1513 , 2003 , Actor in a Leading Role , 0 , Ben Kingsley , House of Sand and Fog
1477 , 2001 , Actor in a Supporting Role , 0 , Ben Kingsley , Sexy Beast
1278 , 1991 , Actor in a Supporting Role , 0 , Ben Kingsley , Bugsy
1734 , 2014 , Actor in a Leading Role , 0 , Benedict Cumberbatch , The Imitation Game
1449 , 2000 , Actor in a Supporting Role , 1 , Benicio Del Toro , Traffic
1517 , 2003 , Actor in a Supporting Role , 0 , Benicio Del Toro , 21 Grams
115 , 1929 , Actress in a Leading Role , 0 , Bessie Love , The Broadway Melody
564 , 1955 , Actress in a Supporting Role , 0 , Betsy Blair , Marty
154 , 1934 , Actress in a Leading Role , 0 , Bette Davis , Of Human Bondage
700 , 1962 , Actress in a Leading Role , 0 , Bette Davis , What Ever Happened to Baby Jane?
501 , 1952 , Actress in a Leading Role , 0 , Bette Davis , The Star
461 , 1950 , Actress in a Leading Role , 0 , Bette Davis , All about Eve
341 , 1944 , Actress in a Leading Role , 0 , Bette Davis , Mr. Skeffington
300 , 1942 , Actress in a Leading Role , 0 , Bette Davis , "Now, Voyager"
280 , 1941 , Actress in a Leading Role , 0 , Bette Davis , The Little Foxes
260 , 1940 , Actress in a Leading Role , 0 , Bette Davis , The Letter
240 , 1939 , Actress in a Leading Role , 0 , Bette Davis , Dark Victory
210 , 1938 , Actress in a Leading Role , 1 , Bette Davis , Jezebel
158 , 1935 , Actress in a Leading Role , 1 , Bette Davis , Dangerous
1043 , 1979 , Actress in a Leading Role , 0 , Bette Midler , The Rose
1282 , 1991 , Actress in a Leading Role , 0 , Bette Midler , For the Boys
112 , 1929 , Actress in a Leading Role , 0 , Betty Compson , The Barker
184 , 1936 , Actress in a Supporting Role , 0 , Beulah Bondi , The Gorgeous Hussy
224 , 1938 , Actress in a Supporting Role , 0 , Beulah Bondi , Of Human Hearts
1515 , 2003 , Actor in a Leading Role , 0 , Bill Murray , Lost in Translation
225 , 1938 , Actress in a Supporting Role , 0 , Billie Burke , Merrily We Live
1375 , 1996 , Actor in a Leading Role , 0 , Billy Bob Thornton , Sling Blade
1419 , 1998 , Actor in a Supporting Role , 0 , Billy Bob Thornton , A Simple Plan
328 , 1944 , Actor in a Leading Role , 1 , Bing Crosby , Going My Way
533 , 1954 , Actor in a Leading Role , 0 , Bing Crosby , The Country Girl
352 , 1945 , Actor in a Leading Role , 0 , Bing Crosby , The Bells of St. Mary's
1173 , 1986 , Actor in a Leading Role , 0 , Bob Hoskins , Mona Lisa
717 , 1963 , Actor in a Supporting Role , 0 , Bobby Darin , "Captain Newman, M.D."
186 , 1936 , Actress in a Supporting Role , 0 , Bonita Granville , These Three
956 , 1975 , Actor in a Supporting Role , 0 , Brad Dourif , One Flew over the Cuckoo's Nest
1358 , 1995 , Actor in a Supporting Role , 0 , Brad Pitt , 12 Monkeys
1675 , 2011 , Actor in a Leading Role , 0 , Brad Pitt , Moneyball
